id,titulo,autor,precio,editorial
1,Manuel Belgrano,Pigna,310.00,Planeta
2,Matematica... ¿estas ahi?,Paenza,350.00,SIGLO XXI EDITORES
6,Las aventuras de pinocho,Collodi Carlo,300.00,PENGUIN BOOKS
8,Matematica... ¿estas ahi? Episodio 2,Paenza,150.00,SIGLO XXI EDITORES
12,El mago de Oz,Baum Frank,300.00,PENGUIN BOOKS
13,La vida por la patria,Pigna,250.00,Planeta
14,Matematica... ¿estas ahi? Episodio 3.14,Paenza,350.00,SIGLO XXI EDITORES
17,Los Viajes De Gulliver,Swift Jonathan,300.00,PENGUIN BOOKS
19,Matematica... ¿estas ahi? Episodio 100,Pigna,150.00,SIGLO XXI EDITORES
22,Alicia En El Pais De Las Maravillas,Carroll Lewis,300.00,PENGUIN BOOKS
25,Los mitos de la historia argentina 2,Pigna,450.00,Planeta
27,Los mitos de la historia argentina 3,Pigna,375.00,Planeta
29,Los mitos de la historia argentina 4,Pigna,250.00,Planeta
30,Los mitos de la historia argentina 5,Pigna,270.00,Planeta
